Barcode ▲,Asset Type,Asset Age,Installation Date,Risk Score,Risk Rating,Asset Condition,Asset Repair Category,Environmental Rating,Impact Rating,Room Code,Site,Building Name,Manager Name,View
1000000,Room Air Conditioners,5,2019-02-03,85,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,5. Severe,NICB-001,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000001,Water Booster Pumps,5,2018-12-22,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,5. Severe,COP-001,Cavendish Campus,Copland,Daniel Martinez,View
1000301,Cable and Track/Rail Based Safety Systems,1,2022-06-23,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000302,Air Handling Units - General,12,2011-05-08,63,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000303,Room Air Conditioners,5,2018-08-16,72,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,3. Moderate,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000304,Pumps - General,5,2019-03-15,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,4. Significant,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000305,Packaged Chiller Units,6,2018-01-23,52,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,4. Significant,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000306,Air Handling Units - General,8,2015-11-07,50,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000307,Packaged Chiller Units,6,2017-12-12,58,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,4. Significant,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000308,Air Handling Units - General,1,2023-03-24,63,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000309,Ventilating Fans - General,15,2009-04-10,49,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,2. Minor,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000310,Air Handling Units - General,13,2010-08-19,62,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000311,Air Handling Units - General,7,2016-12-22,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000312,Packaged Chiller Units,18,2006-04-25,34,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,4,4. Significant,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000313,Packaged Chiller Units,13,2010-07-09,54,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,3,4. Significant,COP-017,Cavendish Campus,Copland,Daniel Martinez,View
1000314,Ventilating Fans - General,8,2015-09-12,55,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,2. Minor,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000315,Room Air Conditioners,1,2023-03-23,51,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000316,Room Air Conditioners,5,2018-09-22,61,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,3,3. Moderate,COP-017,Cavendish Campus,Copland,Daniel Martinez,View
1000317,Room Air Conditioners,11,2013-03-24,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,3. Moderate,COP-017,Cavendish Campus,Copland,Daniel Martinez,View
1000318,Room Air Conditioners,11,2012-05-17,64,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,3. Moderate,COP-017,Cavendish Campus,Copland,Daniel Martinez,View
1000319,Pumps - General,16,2008-02-21,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,MAR-ABCD-001,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000320,Pumps - General,10,2013-05-05,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,MAR-ABCD-001,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000321,Pumps - General,7,2016-10-29,77,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,MAR-ABCD-001,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000322,Pumps - General,10,2014-04-29,74,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,MAR-ABCD-001,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000323,Secondary Hot Water Circulating Pumps,17,2007-03-14,67,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,3. Moderate,MAR-ABCD-001,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000324,Hot Water Calorifiers - Heated by LTHW,12,2011-08-18,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,MAR-ABCD-001,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000325,Pumps - General,0,2024-01-12,84,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,MAR-ABCD-001,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000326,Hot Water Calorifiers - Heated by LTHW,5,2018-05-03,78,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,MAR-ABCD-001,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000327,Pumps - General,17,2006-11-21,67,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,MAR-ABCD-001,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000328,Fixed Access Ladders and Stairs,8,2015-08-31,75,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,3. Moderate,MAR-ABCD-001,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000329,Pumps - General,10,2014-02-12,74,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,MAR-ABCD-001,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000330,Fixed Access Ladders and Stairs,7,2016-07-05,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,MAR-ABCD-002,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000331,Fixed Access Ladders and Stairs,7,2017-04-10,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,MAR-ABCD-003,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000332,Pumps - General,6,2017-09-27,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,MAR-ABCD-004,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000333,Roller Shutter Doors,6,2018-02-25,64,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,MAR-ABCD-005,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000334,Air Handling Units - General,3,2021-02-21,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,MAR-ABCD-006,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000335,Air Handling Units - General,1,2023-02-03,75,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,MAR-ABCD-006,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000336,Solenoid Gas/Oil Shut-off (Safety) Valves,12,2012-03-16,56,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,5. Severe,MAR-S-001,Marylebone Campus,Marylebone S BLOCK (SPORTS BUILDING),Olivia Baker,View
1000337,Room Air Conditioners,11,2012-09-28,61,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,MAR-ABCD-006,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000338,Pumps - General,15,2008-06-18,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,4. Significant,MAR-ABCD-006,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000339,Room Air Conditioners,5,2018-11-01,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,MAR-ABCD-007,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
1000340,Room Air Conditioners,4,2020-02-05,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,MAR-ABCD-007,Marylebone Campus,Marylebone Marylebone ABCD Blocks,Olivia Baker,View
